Popolazione straniera iscritta in anagrafe per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roma Capitale;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31-dic-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cittadinanza;Continente Politico;Municipio e sesso;;;;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Totale ;;
;;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;15;;;16;;;17;;;18;;;19;;;20;;;N.L.;;;;;
;;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT;M;F;TOT
REP. DI CAPO VERDE;AFRICA;28;109;137;32;175;207;14;39;53;9;40;49;37;52;89;3;22;25;16;31;47;29;54;83;11;32;43;4;13;17;8;21;29;19;40;59;9;31;40;10;23;33;7;25;32;15;40;55;18;37;55;37;103;140;133;305;438;4;25;29;443;1217;1.660
GIAPPONE;ASIA;116;100;216;58;66;124;14;20;34;30;65;95;14;50;64;10;17;27;1;14;15;3;21;24;32;68;100;2;22;24;48;56;104;123;116;239;12;52;64;11;33;44;36;71;107;24;49;73;30;36;66;30;36;66;23;52;75;17;14;31;634;958;1.592
REP. DI MACEDONIA;EUROPA NON COM.;19;5;24;7;4;11;5;3;8;66;40;106;20;20;40;10;3;13;20;12;32;67;52;119;7;6;13;10;9;19;8;4;12;112;70;182;75;38;113;34;29;63;26;9;35;12;4;16;229;143;372;149;80;229;57;43;100;12;5;17;945;579;1.524
MESSICO;AMERICA CENT.;112;133;245;20;51;71;7;8;15;11;24;35;10;12;22;20;12;32;2;8;10;17;18;35;13;21;34;3;28;31;48;53;101;18;23;41;12;27;39;12;23;35;100;46;146;16;41;57;292;133;425;8;16;24;14;65;79;21;10;31;756;752;1.508
PORTOGALLO;EUROPA COM.;135;130;265;66;125;191;7;22;29;13;18;31;16;17;33;11;17;28;6;15;21;27;15;42;8;17;25;6;14;20;29;77;106;15;35;50;13;27;40;11;23;34;9;20;29;18;33;51;36;76;112;29;50;79;68;124;192;17;32;49;540;887;1.427
CUBA;AMERICA CENT.;28;31;59;7;17;24;6;9;15;30;60;90;24;78;102;20;50;70;27;48;75;41;92;133;27;52;79;32;76;108;20;42;62;16;48;64;33;92;125;21;46;67;21;43;64;8;19;27;18;41;59;25;61;86;23;58;81;0;2;2;427;965;1.392
COSTA D'AVORIO;AFRICA;955;67;1022;1;1;2;1;1;2;16;14;30;7;3;10;5;2;7;20;23;43;89;13;102;1;4;5;2;4;6;4;1;5;8;7;15;16;5;21;6;3;9;12;6;18;1;4;5;19;11;30;8;6;14;13;11;24;1;2;3;1185;188;1.373
SENEGAL;AFRICA;216;37;253;4;8;12;16;1;17;30;16;46;25;6;31;166;18;184;88;27;115;113;40;153;19;3;22;44;9;53;15;8;23;32;20;52;38;20;58;24;7;31;34;7;41;4;1;5;27;6;33;117;21;138;42;34;76;3;1;4;1057;290;1.347
ARGENTINA;AMERICA SUD;102;97;199;55;60;115;15;24;39;26;26;52;17;17;34;17;13;30;18;15;33;23;28;51;25;23;48;9;16;25;30;25;55;50;21;71;39;50;89;17;26;43;21;51;72;19;30;49;47;25;72;29;46;75;57;69;126;19;23;42;635;685;1.320
REP. DOMINICANA;AMERICA CENT.;11;35;46;8;51;59;6;11;17;25;45;70;23;42;65;21;36;57;14;24;38;48;62;110;26;62;88;29;47;76;9;12;21;16;31;47;17;39;56;13;16;29;16;37;53;2;20;22;19;27;46;15;47;62;81;152;233;1;2;3;400;798;1.198
EX COREA;ASIA;120;43;163;6;9;15;6;16;22;19;18;37;41;44;85;4;11;15;10;8;18;43;33;76;17;32;49;40;39;79;40;17;57;26;24;50;11;17;28;6;11;17;56;37;93;2;6;8;77;56;133;9;20;29;40;44;84;18;7;25;591;492;1083
ALGERIA;AFRICA;71;26;97;34;22;56;15;4;19;33;32;65;41;33;74;59;22;81;64;26;90;63;43;106;14;9;23;23;12;35;41;19;60;36;8;44;33;19;52;63;23;86;21;9;30;9;4;13;13;4;17;19;19;38;21;20;41;19;3;22;692;357;1049
PAESI BASSI;EUROPA COM.;97;80;177;29;54;83;14;17;31;10;21;31;5;12;17;7;10;17;1;7;8;9;13;22;10;23;33;6;13;19;17;21;38;27;29;56;61;82;143;7;23;30;28;35;63;13;15;28;28;30;58;28;43;71;35;47;82;17;19;36;449;594;1043
IRAQ;ASIA;587;42;629;16;3;19;5;3;8;4;3;7;6;2;8;11;5;16;8;6;14;19;14;33;8;16;24;8;3;11;6;7;13;7;17;24;12;5;17;7;1;8;15;9;24;12;8;20;32;2;34;40;14;54;21;19;40;9;4;13;833;183;1016
SVIZZERA;EUROPA NON COM.;114;102;216;55;68;123;18;22;40;15;15;30;9;13;22;15;8;23;3;3;6;5;6;11;14;19;33;6;12;18;11;15;26;18;17;35;52;36;88;8;10;18;25;41;66;20;20;40;24;21;45;11;21;32;24;38;62;18;18;36;465;505;970
LIBIA;AFRICA;83;47;130;51;47;98;51;43;94;98;84;182;41;22;63;15;10;25;6;0;6;23;7;30;10;5;15;3;2;5;11;8;19;13;8;21;13;7;20;37;30;67;12;13;25;4;0;4;7;1;8;75;11;86;18;8;26;27;7;34;598;360;958
BELGIO;EUROPA COM.;92;82;174;28;42;70;12;7;19;9;17;26;3;10;13;7;9;16;5;9;14;6;7;13;8;18;26;3;13;16;18;30;48;24;38;62;44;49;93;12;11;23;20;21;41;6;11;17;53;28;81;15;24;39;66;82;148;6;8;14;437;516;953
TURCHIA;EUROPA NON COM.;477;40;517;15;19;34;8;7;15;9;5;14;10;5;15;9;4;13;24;9;33;9;4;13;11;8;19;10;9;19;22;12;34;7;5;12;34;20;54;20;8;28;13;6;19;13;9;22;9;5;14;11;8;19;14;8;22;5;4;9;730;195;925
REP. DEMOC. DEL CONGO;AFRICA;179;81;260;7;11;18;5;4;9;19;20;39;8;9;17;3;5;8;17;16;33;21;17;38;10;5;15;3;5;8;21;6;27;21;14;35;21;15;36;4;14;18;18;37;55;10;21;31;55;52;107;28;39;67;22;25;47;11;13;24;483;409;892
BOLIVIA;AMERICA SUD;16;50;66;20;48;68;7;10;17;18;33;51;18;22;40;11;22;33;18;34;52;13;14;27;4;13;17;21;30;51;15;15;30;15;29;44;4;14;18;15;17;32;15;34;49;5;24;29;19;33;52;37;81;118;30;59;89;1;3;4;302;585;887
IRLANDA;EUROPA COM.;212;96;308;31;31;62;6;8;14;4;20;24;6;6;12;4;7;11;4;6;10;3;0;3;8;15;23;5;10;15;20;28;48;8;11;19;10;17;27;12;15;27;28;35;63;18;12;30;43;28;71;23;15;38;17;37;54;6;5;11;468;402;870
AUSTRIA;EUROPA COM.;45;68;113;26;57;83;13;26;39;8;21;29;4;17;21;5;9;14;3;15;18;5;16;21;9;18;27;0;12;12;14;18;32;14;26;40;7;33;40;4;11;15;20;44;64;12;23;35;26;44;70;11;33;44;26;31;57;9;14;23;261;536;797
VENEZUELA;AMERICA SUD;48;27;75;12;20;32;9;9;18;31;24;55;14;16;30;10;11;21;11;9;20;16;20;36;20;20;40;10;15;25;13;28;41;12;33;45;16;48;64;10;13;23;13;26;39;8;7;15;42;37;79;8;27;35;29;40;69;11;8;19;343;438;781
LIBANO;ASIA;169;25;194;18;22;40;13;7;20;19;7;26;30;18;48;14;0;14;15;5;20;11;1;12;7;3;10;24;9;33;15;8;23;15;13;28;4;5;9;29;2;31;18;26;44;2;8;10;42;8;50;11;9;20;10;13;23;15;7;22;481;196;677
GEORGIA;ASIA;12;45;57;4;39;43;4;23;27;10;39;49;11;39;50;3;33;36;3;43;46;4;22;26;6;57;63;5;41;46;4;28;32;2;23;25;6;32;38;3;18;21;1;33;34;1;10;11;3;25;28;3;23;26;0;16;16;0;0;0;85;589;674
SVEZIA;EUROPA COM.;36;70;106;31;41;72;9;13;22;7;22;29;5;14;19;0;15;15;2;9;11;7;12;19;15;16;31;6;3;9;8;22;30;11;26;37;14;34;48;3;13;16;9;41;50;11;18;29;10;16;26;7;12;19;22;44;66;9;10;19;222;451;673
ISRAELE;ASIA;48;29;77;33;33;66;35;23;58;30;18;48;23;6;29;16;3;19;4;4;8;7;2;9;23;13;36;11;5;16;17;12;29;7;5;12;14;9;23;20;15;35;20;11;31;5;1;6;22;8;30;14;11;25;46;49;95;14;6;20;409;263;672
CROAZIA;EUROPA NON COM.;44;54;98;4;17;21;1;13;14;8;18;26;10;20;30;6;8;14;13;30;43;11;26;37;5;24;29;10;21;31;8;16;24;25;24;49;22;22;44;2;15;17;4;23;27;5;12;17;11;23;34;9;24;33;16;37;53;5;5;10;219;432;651
CILE;AMERICA SUD;48;32;80;10;29;39;10;14;24;7;16;23;9;10;19;3;6;9;3;4;7;5;11;16;7;9;16;7;10;17;20;22;42;23;9;32;43;52;95;4;4;8;11;19;30;10;16;26;38;23;61;6;14;20;16;39;55;9;7;16;289;346;635
CAMEROUN;AFRICA;95;58;153;4;9;13;1;6;7;11;8;19;20;14;34;6;13;19;8;8;16;63;58;121;3;8;11;17;10;27;3;13;16;10;11;21;15;16;31;5;3;8;3;5;8;3;4;7;31;11;42;16;14;30;25;17;42;2;4;6;341;290;631
SIRIA;ASIA;132;20;152;14;6;20;10;2;12;17;11;28;29;14;43;14;9;23;33;12;45;43;33;76;22;16;38;13;3;16;3;1;4;12;12;24;6;8;14;5;4;9;14;11;25;7;2;9;19;6;25;6;8;14;22;16;38;6;2;8;427;196;623
GUINEA;AFRICA;346;41;387;7;4;11;0;2;2;3;0;3;5;6;11;0;1;1;4;2;6;35;6;41;1;1;2;3;0;3;0;1;1;4;4;8;4;1;5;8;4;12;1;3;4;1;1;2;18;3;21;12;16;28;36;32;68;0;0;0;488;128;616
SUDAN;AFRICA;298;14;312;7;0;7;4;2;6;14;5;19;77;5;82;3;4;7;13;10;23;16;5;21;2;2;4;16;1;17;13;3;16;3;1;4;3;1;4;2;1;3;6;1;7;5;1;6;7;3;10;6;6;12;10;12;22;3;1;4;508;78;586
CANADA';AMERICA NORD;69;38;107;13;14;27;5;3;8;16;8;24;3;3;6;8;2;10;0;1;1;9;2;11;13;8;21;5;5;10;19;14;33;16;14;30;21;25;46;7;6;13;21;19;40;16;7;23;33;14;47;15;14;29;27;27;54;27;18;45;343;242;585
EL SALVADOR;AMERICA CENT.;15;42;57;6;27;33;1;3;4;3;18;21;3;7;10;5;10;15;3;3;6;5;24;29;6;18;24;8;9;17;2;17;19;2;11;13;6;11;17;6;10;16;5;12;17;7;13;20;12;26;38;29;56;85;48;72;120;1;2;3;173;391;564
GHANA;AFRICA;90;8;98;0;2;2;1;1;2;1;7;8;15;15;30;10;7;17;34;21;55;101;65;166;1;1;2;3;12;15;11;3;14;17;17;34;9;8;17;2;2;4;4;6;10;1;3;4;21;7;28;12;7;19;5;2;7;9;2;11;347;196;543
BIELORUSSIA;EUROPA NON COM.;13;44;57;3;19;22;4;5;9;7;24;31;7;18;25;4;9;13;1;16;17;10;25;35;9;17;26;3;22;25;4;22;26;8;25;33;18;37;55;4;12;16;13;17;30;7;14;21;6;18;24;6;18;24;5;14;19;0;0;0;132;376;508
UNGHERIA;EUROPA COM.;36;28;64;11;18;29;8;8;16;14;22;36;10;13;23;2;10;12;3;8;11;5;23;28;5;12;17;2;12;14;3;15;18;7;17;24;7;28;35;1;9;10;18;20;38;5;5;10;10;14;24;4;28;32;13;18;31;7;11;18;171;319;490
KOSOVO;EUROPA NON COM.;8;3;11;1;0;1;1;2;3;6;3;9;6;3;9;5;4;9;5;8;13;170;128;298;7;5;12;9;5;14;9;2;11;6;5;11;10;4;14;2;3;5;4;6;10;0;0;0;9;5;14;9;8;17;2;5;7;2;1;3;271;200;471
REP. DEL CONGO;AFRICA;83;58;141;4;2;6;5;6;11;17;13;30;10;8;18;8;2;10;8;5;13;25;15;40;10;1;11;4;3;7;9;4;13;5;2;7;4;9;13;11;6;17;4;4;8;3;4;7;22;12;34;10;16;26;6;6;12;15;4;19;263;180;443
AUSTRALIA;OCEANIA;48;49;97;9;18;27;0;3;3;1;6;7;4;5;9;2;2;4;3;3;6;2;3;5;4;6;10;1;6;7;15;14;29;9;11;20;10;18;28;6;4;10;10;13;23;4;8;12;25;17;42;3;4;7;13;17;30;35;29;64;204;236;440
MADAGASCAR;AFRICA;16;14;30;4;6;10;1;2;3;3;7;10;1;0;1;0;11;11;2;8;10;2;6;8;4;34;38;1;4;5;6;14;20;9;9;18;8;13;21;5;4;9;0;22;22;2;7;9;20;55;75;17;32;49;30;43;73;1;0;1;132;291;423
DANIMARCA;EUROPA COM.;29;45;74;22;35;57;4;5;9;6;8;14;1;6;7;3;1;4;0;8;8;1;10;11;4;7;11;2;7;9;5;12;17;8;14;22;14;15;29;2;9;11;9;14;23;10;17;27;9;6;15;2;20;22;12;30;42;4;5;9;147;274;421
GIORDANIA;ASIA;33;3;36;8;1;9;16;5;21;16;6;22;87;9;96;30;4;34;21;11;32;18;9;27;20;2;22;14;4;18;8;1;9;0;10;10;9;2;11;5;1;6;2;4;6;3;1;4;4;2;6;7;2;9;10;10;20;8;2;10;319;89;408
