Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cittadinanza;Continente Politico;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Totale ;;
;;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;n.i.;;;;;
;;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF
SOMALIA;AFRICA;1.262;257;1.519;26;39;65;15;25;40;13;13;26;17;20;37;36;8;44;6;14;20;12;9;21;5;6;11;9;5;14;5;3;8;1;6;7;9;7;16;4;12;16;18;23;41;0;0;0;1.438;447;1.885
FEDERAZIONE RUSSA;EUROPA NON COMUNITARIA;66;210;276;36;131;167;15;88;103;11;59;70;14;78;92;13;60;73;31;167;198;12;82;94;19;97;116;39;127;166;18;68;86;10;66;76;23;83;106;14;70;84;24;89;113;0;0;0;345;1.475;1.820
SENEGAL;AFRICA;462;65;527;18;5;23;31;19;50;30;11;41;271;48;319;179;59;238;62;11;73;12;3;15;29;11;40;41;19;60;28;8;36;17;8;25;28;8;36;133;30;163;56;36;92;1;0;1;1.398;341;1.739
REP. ISLAMICA DELL'IRAN;ASIA;272;96;368;50;67;117;55;70;125;51;56;107;35;25;60;66;60;126;40;54;94;18;19;37;76;70;146;19;13;32;11;15;26;23;22;45;39;40;79;26;28;54;102;81;183;1;0;1;884;716;1.600
REP. DI MACEDONIA;EUROPA NON COMUNITARIA;28;8;36;10;9;19;57;41;98;19;21;40;25;14;39;73;49;122;44;44;88;6;3;9;87;42;129;69;36;105;44;35;79;25;14;39;221;147;368;147;93;240;47;36;83;4;3;7;906;595;1.501
EX JUGOSLAVIA;EUROPA NON COMUNITARIA;45;41;86;12;30;42;12;14;26;100;101;201;126;139;265;164;160;324;38;37;75;25;24;49;55;61;116;31;24;55;40;44;84;13;7;20;26;27;53;35;33;68;12;16;28;3;2;5;737;760;1.497
REP. DI CAPO VERDE;AFRICA;34;125;159;41;178;219;10;39;49;38;59;97;16;44;60;25;61;86;13;40;53;6;17;23;16;27;43;8;19;27;14;24;38;7;23;30;18;35;53;39;94;133;122;254;376;0;1;1;407;1.040;1.447
COSTA D'AVORIO;AFRICA;1.053;86;1.139;0;0;0;10;10;20;7;5;12;19;19;38;85;17;102;5;11;16;6;2;8;8;7;15;14;4;18;11;1;12;8;4;12;14;5;19;6;6;12;11;10;21;0;0;0;1.257;187;1.444
CUBA;AMERICA CENTRALE;31;45;76;11;25;36;30;67;97;25;82;107;48;92;140;46;94;140;53;128;181;18;47;65;15;55;70;36;96;132;21;44;65;19;42;61;16;48;64;20;60;80;22;56;78;0;1;1;411;982;1.393
REP. DOMINICANA;AMERICA CENTRALE;10;53;63;9;58;67;21;38;59;23;34;57;28;67;95;52;79;131;55;104;159;6;9;15;18;28;46;12;29;41;15;17;32;20;39;59;18;32;50;23;63;86;97;152;249;0;0;0;407;802;1.209
